ID,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000034936,-2.871268479,2.907518579,272.9640562,2.56E-61,4.83E-57
ENSMUSG00000047822,4.518425053,4.888851864,214.5284096,1.41E-48,1.33E-44
ENSMUSG00000002289,-4.221962141,5.323479693,202.2377698,6.78E-46,4.26E-42
ENSMUSG00000032599,-2.560144297,3.204426053,159.4522005,1.49E-36,7.02E-33
ENSMUSG00000020429,-5.135920087,5.236608994,98.88154577,2.68E-23,1.01E-19
ENSMUSG00000051495,-2.060987075,4.991386488,91.36971128,1.19E-21,3.74E-18
ENSMUSG00000047492,2.000518895,4.91693937,90.47906838,1.87E-21,5.03E-18
ENSMUSG00000020644,1.805149235,5.626794634,83.86471229,5.30E-20,1.25E-16
ENSMUSG00000026435,-1.950082482,4.506968237,79.51404143,4.79E-19,1.00E-15
ENSMUSG00000007872,3.014059045,4.697000284,77.11334157,1.61E-18,3.04E-15
ENSMUSG00000036478,-1.327002766,4.03525652,73.99814637,7.82E-18,1.34E-14
ENSMUSG00000004500,1.928493091,2.204304865,70.58605389,4.41E-17,6.91E-14
ENSMUSG00000029591,2.054703657,1.142227598,67.31565291,2.31E-16,3.30E-13
ENSMUSG00000070284,1.779420493,2.75348362,67.20063536,2.45E-16,3.30E-13
ENSMUSG00000031431,-2.395292232,6.494384954,64.18148606,1.13E-15,1.42E-12
ENSMUSG00000025229,-5.326272057,-0.677782233,62.6387758,2.48E-15,2.92E-12
ENSMUSG00000025195,-1.09712578,4.115428578,62.36234495,2.86E-15,3.16E-12
ENSMUSG00000053175,2.091105759,3.248931262,61.52906218,4.36E-15,4.56E-12
ENSMUSG00000022218,3.190450841,2.847489144,60.92402151,5.93E-15,5.88E-12
ENSMUSG00000006442,1.37759113,2.16306819,60.11218546,8.96E-15,8.43E-12
ENSMUSG00000089809,-1.456486275,3.38842296,59.35382738,1.32E-14,1.18E-11
ENSMUSG00000020108,-2.341095609,1.923330612,59.23146429,1.40E-14,1.20E-11
ENSMUSG00000048489,-3.376903357,2.807984482,58.38716898,2.15E-14,1.76E-11
ENSMUSG00000027429,1.234291585,4.256275629,57.56677564,3.27E-14,2.56E-11
ENSMUSG00000009772,1.614772263,3.061565337,56.61604373,5.30E-14,3.99E-11
ENSMUSG00000042406,1.125347206,5.00644356,55.53234655,9.19E-14,6.66E-11
ENSMUSG00000019997,-2.328369563,2.272745286,53.95530922,2.05E-13,1.43E-10
ENSMUSG00000082838,-1.549284832,1.023982289,53.35709691,2.78E-13,1.87E-10
ENSMUSG00000026475,-4.19909418,2.278020871,52.77610837,3.74E-13,2.43E-10
ENSMUSG00000056313,-1.733906224,3.341045456,51.81788035,6.09E-13,3.82E-10
ENSMUSG00000020484,1.432126829,7.162115322,51.64625063,6.65E-13,4.04E-10
ENSMUSG00000050244,1.315764134,3.713025328,50.73455628,1.06E-12,6.22E-10
ENSMUSG00000012428,3.617840354,7.590744589,49.4969983,1.99E-12,1.13E-09
ENSMUSG00000041075,1.310516048,3.193159352,49.27461774,2.23E-12,1.22E-09
ENSMUSG00000053841,1.059915946,3.875417512,49.23860659,2.27E-12,1.22E-09
ENSMUSG00000032353,1.288935689,2.912133414,48.99290833,2.57E-12,1.31E-09
ENSMUSG00000020037,-2.550816686,0.071339195,48.98319844,2.58E-12,1.31E-09
ENSMUSG00000053113,3.088227499,4.106639193,48.83647491,2.78E-12,1.36E-09
ENSMUSG00000109089,-1.754020366,1.808142208,48.80612273,2.83E-12,1.36E-09
ENSMUSG00000032553,1.367985751,3.207834511,48.57604366,3.18E-12,1.50E-09
ENSMUSG00000004356,0.993485324,3.550028354,47.99998961,4.26E-12,1.94E-09
ENSMUSG00000040128,-1.191808485,4.51577628,47.97148973,4.32E-12,1.94E-09
ENSMUSG00000014599,1.815412248,2.278687841,47.70564719,4.95E-12,2.17E-09
ENSMUSG00000110251,-2.365983962,2.189342512,47.58488287,5.27E-12,2.25E-09
ENSMUSG00000021025,-1.132644088,3.923310062,47.37150164,5.87E-12,2.46E-09
ENSMUSG00000085834,-4.635523562,2.042289238,46.30743429,1.01E-11,4.14E-09
ENSMUSG00000047109,1.385944315,2.060763615,46.20732573,1.06E-11,4.26E-09
ENSMUSG00000054277,2.093544732,1.750119343,46.13497267,1.10E-11,4.33E-09
ENSMUSG00000020706,0.980601678,4.698145196,45.77671816,1.33E-11,5.09E-09
ENSMUSG00000102752,2.450687182,1.470388112,45.64521532,1.42E-11,5.27E-09
ENSMUSG00000025511,1.193007591,3.167096601,45.6295349,1.43E-11,5.27E-09
ENSMUSG00000042510,-2.711674452,1.218360616,45.52876944,1.50E-11,5.45E-09
ENSMUSG00000027035,1.805332591,3.918972214,44.66331986,2.34E-11,8.31E-09
ENSMUSG00000031822,1.48591658,1.63177509,44.12428018,3.08E-11,1.07E-08
ENSMUSG00000029385,-2.070288764,3.256614842,43.98055146,3.32E-11,1.14E-08
ENSMUSG00000071856,-0.963346273,4.954429823,43.73092247,3.77E-11,1.27E-08
ENSMUSG00000018848,0.985876176,3.662468314,43.34273248,4.59E-11,1.52E-08
ENSMUSG00000040891,1.130893646,5.672036849,42.68724218,6.42E-11,2.08E-08
ENSMUSG00000039782,-1.581002282,3.377837009,42.65046643,6.54E-11,2.09E-08
ENSMUSG00000028413,1.107698083,4.979077668,42.29949428,7.83E-11,2.46E-08
ENSMUSG00000026489,-1.454921731,5.870845986,42.26138177,7.99E-11,2.46E-08
ENSMUSG00000020919,-0.922370959,4.632572161,41.83730999,9.92E-11,3.01E-08
ENSMUSG00000046352,1.246078762,7.492809192,41.13322738,1.42E-10,4.25E-08
ENSMUSG00000021629,1.052738369,4.527485798,40.88685956,1.61E-10,4.75E-08
ENSMUSG00000022094,1.409089439,7.192904429,40.82378632,1.67E-10,4.83E-08
ENSMUSG00000044167,-1.211031096,4.359905504,40.47055246,2.00E-10,5.69E-08
ENSMUSG00000032575,1.740152572,5.021541763,40.43580578,2.03E-10,5.71E-08
ENSMUSG00000001138,-0.963301572,2.53326424,40.31553176,2.16E-10,5.98E-08
ENSMUSG00000027995,3.342614573,2.251455397,40.04959355,2.48E-10,6.76E-08
ENSMUSG00000038393,-1.042534407,4.655475709,40.00465499,2.53E-10,6.81E-08
ENSMUSG00000040463,1.033631089,4.063769906,39.94693524,2.61E-10,6.92E-08
ENSMUSG00000029992,1.221010365,3.653154868,39.92066952,2.64E-10,6.92E-08
ENSMUSG00000019189,1.205596815,2.820841912,39.86123779,2.73E-10,7.01E-08
ENSMUSG00000030909,1.129457811,5.320869276,39.84115802,2.75E-10,7.01E-08
