"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"3124","GO:0006575",9.81895847084001e-07,0.999999627926881,47,137,"cellular modified amino acid metabolic process","BP",0.0208073548955571
"14787","GO:0065010",2.06285048403226e-06,0.999999954467155,9,10,"extracellular membrane-bounded organelle","CC",0.0218569323035639
"11241","GO:0045087",6.52807418401866e-06,0.99999624874749,128,510,"innate immune response","BP",0.0306481133806289
"4358","GO:0009607",6.85850438237164e-06,0.999995661331296,218,950,"response to biotic stimulus","BP",0.0306481133806289
"6470","GO:0020003",1.01239579852014e-05,0.999999752132332,8,9,"symbiont-containing vacuole","CC",0.0306481133806289
"7057","GO:0030430",1.01239579852014e-05,0.999999752132332,8,9,"host cell cytoplasm","CC",0.0306481133806289
"8673","GO:0033655",1.01239579852014e-05,0.999999752132332,8,9,"host cell cytoplasm part","CC",0.0306481133806289
"17022","GO:0098542",1.74514120532145e-05,0.999988842434518,161,679,"defense response to other organism","BP",0.0377948219520631
"10998","GO:0044248",1.7731891044632e-05,0.999986871912674,370,1726,"cellular catabolic process","BP",0.0377948219520631
"9346","GO:0035456",1.84635538118444e-05,0.999995157838024,22,52,"response to interferon-beta","BP",0.0377948219520631
"3371","GO:0006952",1.96188495810813e-05,0.999986353993523,236,1051,"defense response","BP",0.0377948219520631
"5822","GO:0016829",2.24342028571612e-05,0.999989953842552,49,158,"lyase activity","MF",0.0385457810396127
"7716","GO:0031838",2.53159137787835e-05,1,5,5,"haptoglobin-hemoglobin complex","CC",0.0385457810396127
"3219","GO:0006694",2.86906556069377e-05,0.999988124030067,41,124,"steroid biosynthetic process","BP",0.0385457810396127
"2625","GO:0005783",2.88094614877671e-05,0.999979028884939,292,1336,"endoplasmic reticulum","CC",0.0385457810396127
"3220","GO:0006695",3.1781529979324e-05,0.999992057603332,20,45,"cholesterol biosynthetic process","BP",0.0385457810396127
"18650","GO:1902653",3.1781529979324e-05,0.999992057603332,20,45,"secondary alcohol biosynthetic process","BP",0.0385457810396127
"10606","GO:0043207",3.58399201407459e-05,0.999975150542505,209,926,"response to external biotic stimulus","BP",0.0385457810396127
"13335","GO:0051707",3.58399201407459e-05,0.999975150542505,209,926,"response to other organism","BP",0.0385457810396127
"10385","GO:0042742",3.80277159206582e-05,0.999982766659541,47,159,"defense response to bacterium","BP",0.0385457810396127
"5466","GO:0016126",3.81983578798484e-05,0.999989827176245,21,49,"sterol biosynthetic process","BP",0.0385457810396127
"473","GO:0001562",4.40866952655923e-05,0.999991709822519,15,29,"response to protozoan","BP",0.0393557412439961
"10438","GO:0042832",4.58590703619894e-05,0.999992086690243,14,26,"defense response to protozoan","BP",0.0393557412439961
"10744","GO:0043436",4.67912178219171e-05,0.999967860692175,189,816,"oxoacid metabolic process","BP",0.0393557412439961
"4121","GO:0009056",4.68059085418179e-05,0.999963939693284,414,1974,"catabolic process","BP",0.0393557412439961
"6471","GO:0020005",4.84724490339992e-05,0.999998670793367,7,8,"symbiont-containing vacuole membrane","CC",0.0393557412439961
"9348","GO:0035458",5.01441656169078e-05,0.999987479596097,19,43,"cellular response to interferon-beta","BP",0.0393557412439961
"2806","GO:0006082",5.58427427116624e-05,0.999961395793178,192,833,"organic acid metabolic process","BP",0.0422629843143871
"3903","GO:0008392",7.33637444946996e-05,0.999986414017998,14,27,"arachidonic acid epoxygenase activity","MF",0.0536086589512821
"11007","GO:0044270",7.64952288368419e-05,0.999955793563985,86,330,"cellular nitrogen compound catabolic process","BP",0.0540336798093839
"6356","GO:0019752",0.000103673451079027,0.999928027222066,180,783,"carboxylic acid metabolic process","BP",0.0708691645746991
"4363","GO:0009615",0.000117980175507581,0.999936836574046,64,230,"response to virus","BP",0.0781286843494112
"8670","GO:0033646",0.000132752418565683,0.999990272698442,8,11,"host intracellular part","CC",0.079793884909728
"10870","GO:0043656",0.000132752418565683,0.999990272698442,8,11,"host intracellular region","CC",0.079793884909728
"2651","GO:0005829",0.000135425379255461,0.999889985026315,607,3052,"cytosol","CC",0.079793884909728
"2654","GO:0005833",0.00013932205849936,1,4,4,"hemoglobin complex","CC",0.079793884909728
"7683","GO:0031720",0.00013932205849936,1,4,4,"haptoglobin binding","MF",0.079793884909728
"11959","GO:0046700",0.000149920201242354,0.99991090233491,86,336,"heterocycle catabolic process","BP",0.0836041838033347
"9119","GO:0034754",0.000155658938998775,0.999942250924832,28,79,"cellular hormone metabolic process","BP",0.0845786814441807
"11015","GO:0044283",0.000169519843862074,0.999890455976108,118,490,"small molecule biosynthetic process","BP",0.0851873097146733
"10621","GO:0043231",0.000172336902827933,0.999856614464174,1569,8469,"intracellular membrane-bounded organelle","CC",0.0851873097146733
"3249","GO:0006749",0.000174259246589753,0.999947295410325,20,54,"glutathione metabolic process","BP",0.0851873097146733
"2988","GO:0006401",0.000175800177828109,0.99990629611698,60,216,"RNA catabolic process","BP",0.0851873097146733
"11084","GO:0044406",0.000176878940467445,0.999981027398462,9,14,"adhesion of symbiont to host","BP",0.0851873097146733
"3790","GO:0008202",0.000188132405212816,0.999895482743881,67,248,"steroid metabolic process","BP",0.088593639974773
"2989","GO:0006402",0.000192356072890544,0.999901337771566,53,185,"mRNA catabolic process","BP",0.0886134247961635
"3393","GO:0006986",0.000199480121905263,0.999915906511932,34,104,"response to unfolded protein","BP",0.0899400694317962
"8702","GO:0033764",0.000204378042562419,0.999955621902196,14,30,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",0.0902286479154215
"5508","GO:0016229",0.000210186101461001,0.999947403511396,16,37,"steroid dehydrogenase activity","MF",0.0908990546134707
"10140","GO:0042221",0.000230664860623574,0.999812671476279,549,2716,"response to chemical","BP",0.0977603812294832
"4364","GO:0009617",0.000244720005167637,0.999843056477887,108,455,"response to bacterium","BP",0.10168356136289
"4471","GO:0010033",0.000254873163428294,0.999796972774284,432,2092,"response to organic substance","BP",0.103865715504019
"10244","GO:0042445",0.000271285570573401,0.999873912527498,40,130,"hormone metabolic process","BP",0.108353888348744
"11013","GO:0044281",0.000276112971111895,0.999788377423822,298,1410,"small molecule metabolic process","BP",0.108353888348744
