"","C1","C2","C3","C4","C5","R1","R2","R3","R4","R5","Cluster"
"ENSMUSG00000000001",0.160008009166682,-0.21240029188518,-0.0488066033967698,0.17637455100843,0.169786049312267,0.160008009166682,-0.135326039540739,-0.159713117665347,-0.113046782801958,0.00311621663592732,8
"ENSMUSG00000000028",-0.0761428367690411,0.198838053513315,0.347317819542831,0.177292100312102,-0.0149160286481964,-0.0761428367690411,0.0506077596453114,0.0826238490605249,0.112971120184101,-0.802449000071908,7
"ENSMUSG00000000049",0.117133070596521,-0.0322024323818653,0.0544208083986284,0.024223209886669,-0.0736918903332171,0.117133070596521,0.0353965050539742,-0.0569642448138463,-0.0570210381042777,-0.128427058899115,10
"ENSMUSG00000000056",0.0653336315716224,-0.220635144638116,-0.0914035168658023,0.196108555916878,0.273313178755133,0.0653336315716224,-0.085681781858562,-0.171941217644283,-0.172506816108502,0.142079479300006,6
"ENSMUSG00000000058",0.253145913298207,-0.337811568922643,0.0052520190409866,0.161176915769095,0.0423387603336014,0.253145913298207,-0.0164738684897228,-0.335206104343603,-0.0931915412862505,0.0676235613021228,4
"ENSMUSG00000000078",-0.0472203508421032,-0.20888018613636,0.116974712751785,0.120903662393905,-0.197768063672217,-0.0472203508421032,-0.0451714299070236,0.161836912977403,0.31412787579985,-0.167582782523136,7
"ENSMUSG00000000085",0.11156765740886,-0.186043902469986,-0.0632675981125326,-0.113904371593877,0.0312004254818308,0.11156765740886,0.0758568799385642,-0.0807031182937048,-0.0951465640701121,0.2088729343021,8
"ENSMUSG00000000088",0.13863750137374,-0.0939365832417716,-0.08037016783023,0.0449934914249894,0.0350951663747816,0.13863750137374,-0.068630149871554,0.0149560656170449,-0.0668016163302996,-0.0625812088904389,8
"ENSMUSG00000000093",0.0641060654625885,-0.0122003666614088,0.0100158868933424,-0.033746319862622,-0.144447988539108,0.0641060654625885,0.172838156374262,0.160096345147982,-0.272494213844011,-0.00827363043361418,10
"ENSMUSG00000000120",0.193739903231449,-0.205389181026056,-0.197122586980016,0.0409085960048472,0.422296515020154,0.193739903231449,-0.210756754840653,-0.458011170972936,-0.183484714113133,0.404079490444898,6
"ENSMUSG00000000127",0.159999690952237,-0.0527336243350986,-0.0702435788257816,0.0410623060795441,0.143543045046586,0.159999690952237,0.011826175782748,-0.139094865638207,-0.19565088092425,-0.058707959090015,18
"ENSMUSG00000000131",0.0838815266651034,-0.0451387736618747,0.00599483058515471,0.0234663701312101,0.0546219646606509,0.0838815266651034,-0.0664105919571982,-0.0919926507894413,-0.0534406392005371,0.00513643690182519,8
"ENSMUSG00000000134",-0.0629435316080293,-0.224874882814097,0.00603237090869957,0.2018017143625,0.278014442124425,-0.0629435316080293,-0.21668949022399,-0.00392368284118039,0.122018708963417,-0.0364921172637152,9
"ENSMUSG00000000142",-0.162109367820292,-0.0219535314036787,0.162492309018568,0.194421078287825,0.265361835255435,-0.162109367820292,-0.187908169866224,-0.123532457677674,-0.0331228088397446,0.0684604808660749,9
"ENSMUSG00000000148",0.0244565511915757,-0.139816535905152,-0.00214365723881293,0.0437796286891867,0.107162390989544,0.0244565511915757,-0.234827155963299,-0.00230418466644622,0.0231275132515965,0.156108898460229,8
