,Tissue,Treat,Time,Replicate,Group
L1,Liver,Starved,Starved,1,C1
L10,Liver,Starved,Starved,2,C1
L19,Liver,Starved,Starved,3,C1
L2,Liver,Control,30 Minute,1,C2
L11,Liver,Control,30 Minute,2,C2
L20,Liver,Control,30 Minute,3,C2
L4,Liver,Control,1 Hour,1,C3
L13,Liver,Control,1 Hour,2,C3
L22,Liver,Control,1 Hour,3,C3
L6,Liver,Control,2 Hour,1,C4
L15,Liver,Control,2 Hour,2,C4
L24,Liver,Control,2 Hour,3,C4
L8,Liver,Control,4 Hour,1,C5
L17,Liver,Control,4 Hour,2,C5
L26,Liver,Control,4 Hour,3,C5
L3,Liver,Rapa,30 Minute,1,R2
L12,Liver,Rapa,30 Minute,2,R2
L21,Liver,Rapa,30 Minute,3,R2
L5,Liver,Rapa,1 Hour,1,R3
L14,Liver,Rapa,1 Hour,2,R3
L23,Liver,Rapa,1 Hour,3,R3
L7,Liver,Rapa,2 Hour,1,R4
L16,Liver,Rapa,2 Hour,2,R4
L25,Liver,Rapa,2 Hour,3,R4
L9,Liver,Rapa,4 Hour,1,R5
L18,Liver,Rapa,4 Hour,2,R5
L27,Liver,Rapa,4 Hour,3,R5
