"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"12519","GO:0048523",9.06899344336247e-14,1,95,3815,"negative regulation of cellular process","BP",1.93178629337064e-09
"18425","GO:1901700",1.99830972810405e-13,1,46,1101,"response to oxygen-containing compound","BP",2.12829977591722e-09
"12515","GO:0048519",8.08889414850062e-13,1,98,4162,"negative regulation of biological process","BP",5.74338447524039e-09
"12630","GO:0048731",9.86756627998969e-12,1,87,3544,"system development","BP",5.25472573325151e-08
"6224","GO:0019222",1.29994437093734e-11,1,104,4771,"regulation of metabolic process","BP",5.53802300906727e-08
"16372","GO:0080090",1.79835350924042e-11,1,95,4147,"regulation of primary metabolic process","BP",6.00384996447868e-08
"12891","GO:0050793",2.07792633551488e-11,1,63,2130,"regulation of developmental process","BP",6.00384996447868e-08
"13139","GO:0051171",2.25486126077787e-11,1,93,4026,"regulation of nitrogen compound metabolic process","BP",6.00384996447868e-08
"711","GO:0001944",2.59491347041867e-11,1,32,637,"vasculature development","BP",6.14158353704311e-08
"13181","GO:0051239",2.89890698693533e-11,1,69,2499,"regulation of multicellular organismal process","BP",6.17496177287094e-08
"16184","GO:0072358",3.82188255923635e-11,1,32,647,"cardiovascular system development","BP",6.84779539732192e-08
"474","GO:0001568",3.85773178573133e-11,1,31,607,"blood vessel development","BP",6.84779539732192e-08
"16185","GO:0072359",7.12356280677078e-11,1,39,957,"circulatory system development","BP",1.12687981872729e-07
"7492","GO:0031323",7.40637409613731e-11,1,96,4318,"regulation of cellular metabolic process","BP",1.12687981872729e-07
"13973","GO:0060255",1.43998838211891e-10,0.999999999960567,97,4412,"regulation of macromolecule metabolic process","BP",2.04487950183433e-07
"10175","GO:0042221",1.86457900828998e-10,0.999999999950928,73,2855,"response to chemical","BP",2.48233734097406e-07
"4400","GO:0009725",2.26347868074588e-10,0.999999999962255,28,541,"response to hormone","BP",2.83613878697459e-07
"4878","GO:0010941",3.52003139312846e-10,0.999999999919717,46,1375,"regulation of cell death","BP",4.16556603916829e-07
"4488","GO:0010033",5.76783594457859e-10,0.999999999819293,60,2132,"response to organic substance","BP",6.46635123449834e-07
"3569","GO:0007275",8.3423687487078e-10,0.999999999708634,89,3951,"multicellular organism development","BP",8.88503983581125e-07
"12512","GO:0048514",8.78341394423873e-10,0.999999999825916,27,528,"blood vessel morphogenesis","BP",8.90930954410615e-07
"12511","GO:0048513",9.27559758576382e-10,0.999999999694948,67,2552,"animal organ development","BP",8.98088655337978e-07
"2197","GO:0004857",1.5841977427602e-09,0.999999999786471,18,254,"enzyme inhibitor activity","MF",1.46717374428413e-06
"12514","GO:0048518",1.66977116513808e-09,0.999999999363659,98,4658,"positive regulation of biological process","BP",1.4819914828586e-06
"13140","GO:0051172",1.86544218148086e-09,0.99999999938985,54,1846,"negative regulation of nitrogen compound metabolic process","BP",1.53162268992247e-06
"4399","GO:0009719",1.86949861217709e-09,0.999999999483699,39,1066,"response to endogenous stimulus","BP",1.53162268992247e-06
"4638","GO:0010605",2.35082888242347e-09,0.999999999197571,59,2145,"negative regulation of macromolecule metabolic process","BP",1.85462985275934e-06
"20610","GO:2000026",2.92172851668913e-09,0.999999999055176,51,1696,"regulation of multicellular organismal development","BP",2.22270496907125e-06
"18426","GO:1901701",3.18652212933419e-09,0.999999999194622,33,820,"cellular response to oxygen-containing compound","BP",2.26302787130843e-06
"3819","GO:0008219",3.1872135645863e-09,0.99999999897557,50,1683,"cell death","BP",2.26302787130843e-06
"4441","GO:0009888",4.03309397853205e-09,0.999999998731802,47,1491,"tissue development","BP",2.77125596247456e-06
"4445","GO:0009892",4.33411902719954e-09,0.999999998439345,62,2358,"negative regulation of metabolic process","BP",2.88503341869929e-06
"12518","GO:0048522",5.15917495617364e-09,0.999999997946,92,4318,"positive regulation of cellular process","BP",3.33016926489257e-06
"4921","GO:0012501",5.86011848679224e-09,0.999999998107292,47,1551,"programmed cell death","BP",3.67136423197534e-06
"8133","GO:0032502",6.78449684359628e-09,0.999999997247334,96,4605,"developmental process","BP",4.12904477901269e-06
"4446","GO:0009893",6.98442471583784e-09,0.999999997338185,71,2938,"positive regulation of metabolic process","BP",4.13264530200172e-06
"10582","GO:0043067",7.63521196092077e-09,0.999999997684383,41,1249,"regulation of programmed cell death","BP",4.39561216161009e-06
"3360","GO:0006915",9.08393976466901e-09,0.999999997052432,46,1518,"apoptotic process","BP",5.09202634018986e-06
"12965","GO:0050896",1.0303313125046e-08,0.999999995797942,114,6092,"response to stimulus","BP",5.62745827888733e-06
"12685","GO:0048856",1.24556195991639e-08,0.999999994892304,91,4295,"anatomical structure development","BP",6.63292882704476e-06
"8358","GO:0032870",1.28835087442549e-08,0.999999997503082,22,408,"cellular response to hormone stimulus","BP",6.69345414052132e-06
"10527","GO:0042981",1.57920324709008e-08,0.999999995142796,40,1229,"regulation of apoptotic process","BP",8.00919246815852e-06
"7493","GO:0031324",1.63813601912524e-08,0.999999994093701,55,2018,"negative regulation of cellular metabolic process","BP",8.11486868450855e-06
"12547","GO:0048585",2.19446890436181e-08,0.999999992954713,42,1326,"negative regulation of response to stimulus","BP",1.06237232117752e-05
"9263","GO:0035239",2.46969635288458e-08,0.999999993554886,30,742,"tube morphogenesis","BP",1.16904448917321e-05
"13141","GO:0051173",2.56527625902282e-08,0.999999990168228,62,2460,"positive regulation of nitrogen compound metabolic process","BP",1.18789020855315e-05
"7494","GO:0031325",3.00657723121028e-08,0.999999988297099,64,2594,"positive regulation of cellular metabolic process","BP",1.36261918302149e-05
