"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"12514","GO:0048518",6.79871655830167e-11,1,384,4658,"positive regulation of biological process","BP",1.44819461408384e-06
"12518","GO:0048522",4.10678816124608e-10,1,357,4318,"positive regulation of cellular process","BP",3.04240278040515e-06
"18425","GO:1901700",5.11990230977103e-10,1,121,1101,"response to oxygen-containing compound","BP",3.04240278040515e-06
"13181","GO:0051239",6.82337043215209e-10,1,229,2499,"regulation of multicellular organismal process","BP",3.04240278040515e-06
"12891","GO:0050793",7.34841887978405e-10,1,202,2130,"regulation of developmental process","BP",3.04240278040515e-06
"10133","GO:0042127",8.5697463416886e-10,1,135,1290,"regulation of cell population proliferation","BP",3.04240278040515e-06
"12519","GO:0048523",1.75201845695005e-09,1,319,3815,"negative regulation of cellular process","BP",5.33139216449901e-06
"16372","GO:0080090",2.560255270467e-09,1,341,4147,"regulation of primary metabolic process","BP",6.81699968952719e-06
"7494","GO:0031325",5.48353942692719e-09,1,231,2594,"positive regulation of cellular metabolic process","BP",1.17615939160453e-05
"12515","GO:0048519",6.26933236187381e-09,1,339,4162,"negative regulation of biological process","BP",1.17615939160453e-05
"4446","GO:0009893",6.2768986718856e-09,1,255,2938,"positive regulation of metabolic process","BP",1.17615939160453e-05
"13141","GO:0051173",6.62593901659750e-09,1,221,2460,"positive regulation of nitrogen compound metabolic process","BP",1.17615939160453e-05
"13139","GO:0051171",1.15528171262888e-08,1,329,4026,"regulation of nitrogen compound metabolic process","BP",1.89297352005444e-05
"12888","GO:0050789",1.63745322297924e-08,1,580,8001,"regulation of biological process","BP",2.49138507876291e-05
"12892","GO:0050794",2.44629497158983e-08,1,558,7655,"regulation of cellular process","BP",3.09105561919788e-05
"14892","GO:0065007",2.55144323953229e-08,1,604,8416,"biological regulation","BP",3.09105561919788e-05
"4637","GO:0010604",2.72686533855871e-08,1,237,2724,"positive regulation of macromolecule metabolic process","BP",3.09105561919788e-05
"4400","GO:0009725",2.77295216695538e-08,1,68,541,"response to hormone","BP",3.09105561919788e-05
"13183","GO:0051241",2.84147377747697e-08,1,110,1042,"negative regulation of multicellular organismal process","BP",3.09105561919788e-05
"4441","GO:0009888",2.90226338594233e-08,1,147,1491,"tissue development","BP",3.09105561919788e-05
"10851","GO:0043535",3.12868875930107e-08,0.999999994238218,21,82,"regulation of blood vessel endothelial cell migration","BP",3.17353329818439e-05
"2967","GO:0006357",3.68759786897101e-08,1,147,1505,"regulation of transcription by RNA polymerase II","BP",3.5704328275887e-05
"7492","GO:0031323",6.88689333684286e-08,1,344,4318,"regulation of cellular metabolic process","BP",6.36841743976115e-05
"5075","GO:0014910",7.17534475162047e-08,0.999999986748225,20,78,"regulation of smooth muscle cell migration","BP",6.36841743976115e-05
"4399","GO:0009719",9.16964458587991e-08,1,111,1066,"response to endogenous stimulus","BP",7.81290397295311e-05
"11516","GO:0045595",9.76190633557172e-08,1,145,1505,"regulation of cell differentiation","BP",7.99762949438513e-05
"12511","GO:0048513",1.08100523807687e-07,1,222,2552,"animal organ development","BP",8.32424481223148e-05
"9421","GO:0035556",1.10964828909009e-07,1,183,2016,"intracellular signal transduction","BP",8.32424481223148e-05
"10850","GO:0043534",1.1398822082046e-07,0.999999974764269,23,103,"blood vessel endothelial cell migration","BP",8.32424481223148e-05
"17870","GO:0140110",1.17237380576942e-07,1,108,1033,"transcription regulator activity","MF",8.32424481223148e-05
"2974","GO:0006366",1.27392015661878e-07,1,148,1555,"transcription by RNA polymerase II","BP",8.4860709720668e-05
"8806","GO:0034097",1.27484282947344e-07,1,76,664,"response to cytokine","BP",8.4860709720668e-05
"4638","GO:0010605",1.43457621139277e-07,1,191,2145,"negative regulation of macromolecule metabolic process","BP",9.2599720845083e-05
"13140","GO:0051172",1.68378457940247e-07,1,169,1846,"negative regulation of nitrogen compound metabolic process","BP",0.000105489103899565
"13973","GO:0060255",2.32276046179945e-07,1,347,4412,"regulation of macromolecule metabolic process","BP",0.000138345460421948
"2205","GO:0004867",2.35783359790975e-07,0.999999963276534,16,57,"serine-type endopeptidase inhibitor activity","MF",0.000138345460421948
"4445","GO:0009892",2.40307123403225e-07,1,205,2358,"negative regulation of metabolic process","BP",0.000138345460421948
"6224","GO:0019222",2.54094401592743e-07,1,370,4771,"regulation of metabolic process","BP",0.00014243328548229
"5074","GO:0014909",3.12297794264226e-07,0.999999935644009,20,85,"smooth muscle cell migration","BP",0.00017057064911852
"983","GO:0002376",3.48848983337227e-07,1,161,1789,"immune system process","BP",0.000184018986595697
"361","GO:0000981",3.54198321694924e-07,1,65,532,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",0.000184018986595697
"7493","GO:0031324",3.65119590358557e-07,1,180,2018,"negative regulation of cellular metabolic process","BP",0.000184435926795704
"18426","GO:1901701",3.72317959354737e-07,1,88,820,"cellular response to oxygen-containing compound","BP",0.000184435926795704
"4633","GO:0010594",3.94273405417979e-07,0.999999894532103,26,136,"regulation of endothelial cell migration","BP",0.000190873132018372
"10175","GO:0042221",4.25599348864929e-07,1,238,2855,"response to chemical","BP",0.000201459816226041
"6888","GO:0030097",4.56708897312946e-07,1,79,721,"hemopoiesis","BP",0.000211486004818762
"2197","GO:0004857",4.99147484224671e-07,0.999999829270775,37,254,"enzyme inhibitor activity","MF",0.000226220011946164
"11721","GO:0045944",5.3778588093687e-07,1,100,964,"positive regulation of transcription by RNA polymerase II","BP",0.000238653688538256
"1152","GO:0002682",5.84831292664095e-07,1,102,1017,"regulation of immune system process","BP",0.000254234517653834
"1563","GO:0003700",6.97516222980823e-07,0.999999761220708,80,711,"DNA-binding transcription factor activity","MF",0.00029715586131429
"2204","GO:0004866",7.1311315028886e-07,0.99999983514601,21,102,"endopeptidase inhibitor activity","MF",0.000297843592437314
"12524","GO:0048534",7.53103694587971e-07,0.99999974018817,82,758,"hematopoietic or lymphoid organ development","BP",0.000308497342277276
"12965","GO:0050896",8.19572145363621e-07,0.999999656467485,450,6092,"response to stimulus","BP",0.000329390684309254
"4653","GO:0010629",8.74044383367135e-07,0.999999665438482,144,1547,"negative regulation of gene expression","BP",0.000343782092269917
"14483","GO:0061061",8.87658564144661e-07,0.999999706427603,68,590,"muscle structure development","BP",0.000343782092269917
"5016","GO:0014812",1.00856679619036e-06,0.999999762309805,21,99,"muscle cell migration","BP",0.000383633595100907
"3483","GO:0007154",1.02884250065591e-06,0.999999572108347,336,4324,"cell communication","BP",0.000384480247481957
"3853","GO:0008283",1.10345740451248e-06,0.999999576238007,144,1563,"cell population proliferation","BP",0.00040163726599692
