"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"12514","GO:0048518",1.99441539335727e-10,1,497,4658,"positive regulation of biological process","BP",4.24830422939031e-06
"12518","GO:0048522",4.94925318229334e-10,1,464,4318,"positive regulation of cellular process","BP",5.27120210180152e-06
"13181","GO:0051239",3.06271776733799e-09,1,291,2499,"regulation of multicellular organismal process","BP",1.9027658083811e-05
"983","GO:0002376",3.57310137248224e-09,1,217,1789,"immune system process","BP",1.9027658083811e-05
"2967","GO:0006357",7.38535209346484e-09,1,191,1505,"regulation of transcription by RNA polymerase II","BP",2.89023394833678e-05
"11426","GO:0045321",8.14112186752768e-09,1,100,666,"leukocyte activation","BP",2.89023394833678e-05
"1063","GO:0002520",1.12014788959341e-08,1,115,807,"immune system development","BP",3.40861002803275e-05
"12524","GO:0048534",1.42944749068285e-08,1,109,758,"hematopoietic or lymphoid organ development","BP",3.80608262487942e-05
"588","GO:0001775",2.29531227151908e-08,1,108,752,"cell activation","BP",5.10217731696796e-05
"6888","GO:0030097",2.39595490700148e-08,1,104,721,"hemopoiesis","BP",5.10217731696796e-05
"13183","GO:0051241",2.63480355319692e-08,1,139,1042,"negative regulation of multicellular organismal process","BP",5.10217731696796e-05
"11721","GO:0045944",3.50072274731798e-08,1,132,964,"positive regulation of transcription by RNA polymerase II","BP",6.21407460338502e-05
"2974","GO:0006366",3.8529505581519e-08,1,192,1555,"transcription by RNA polymerase II","BP",6.31320767993797e-05
"7494","GO:0031325",5.42628941494469e-08,1,292,2594,"positive regulation of cellular metabolic process","BP",8.25609934483835e-05
"17870","GO:0140110",6.37356609906008e-08,1,138,1033,"transcription regulator activity","MF",9.05088876507191e-05
"12031","GO:0046649",7.04607858267805e-08,1,84,554,"lymphocyte activation","BP",9.38053249310158e-05
"13141","GO:0051173",9.12779948602728e-08,1,278,2460,"positive regulation of nitrogen compound metabolic process","BP",0.000114371327559922
"1563","GO:0003700",1.19113375914618e-07,1,103,711,"DNA-binding transcription factor activity","MF",0.000140957445575404
"1152","GO:0002682",1.34528428073194e-07,1,132,1017,"regulation of immune system process","BP",0.000150820528757217
"4611","GO:0010557",1.4527538005784e-07,1,180,1461,"positive regulation of macromolecule biosynthetic process","BP",0.000154725543530602
"10126","GO:0042113",1.58083237537448e-07,0.999999949181407,41,201,"B cell activation","BP",0.000160349097275485
"4446","GO:0009893",2.19242025967784e-07,1,320,2938,"positive regulation of metabolic process","BP",0.000207275277243797
"12892","GO:0050794",2.23807867077007e-07,1,729,7655,"regulation of cellular process","BP",0.000207275277243797
"10116","GO:0042100",2.86336657921031e-07,0.99999994069618,21,71,"B cell proliferation","BP",0.000254135714598995
"13192","GO:0051254",2.99169665327946e-07,1,164,1312,"positive regulation of RNA metabolic process","BP",0.000254904521646023
"12888","GO:0050789",3.3028644719492e-07,1,756,8001,"regulation of biological process","BP",0.000270593523526884
"1064","GO:0002521",5.3966763107718e-07,1,68,437,"leukocyte differentiation","BP",0.000425757785539816
"4637","GO:0010604",7.02384851789171e-07,0.999999708544723,299,2724,"positive regulation of macromolecule metabolic process","BP",0.000534339275998612
"11682","GO:0045893",1.00510560805086e-06,0.999999610334696,154,1229,"positive regulation of transcription, DNA-templated","BP",0.000738267398520393
"361","GO:0000981",1.09657091031826e-06,0.99999962247183,80,532,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",0.000776748067199954
"10133","GO:0042127",1.13978851528005e-06,0.999999556052621,157,1290,"regulation of cell population proliferation","BP",0.000776748067199954
"19135","GO:1903508",1.16689066947085e-06,0.999999546713944,154,1232,"positive regulation of nucleic acid-templated transcription","BP",0.000776748067199954
"18773","GO:1902680",1.21970152801704e-06,0.999999525918759,154,1233,"positive regulation of RNA biosynthetic process","BP",0.000781181856089873
"13093","GO:0051101",1.24689841355127e-06,0.999999661944131,25,104,"regulation of DNA binding","BP",0.000781181856089873
"4444","GO:0009891",1.30830671196559e-06,0.999999478524851,186,1563,"positive regulation of biosynthetic process","BP",0.00079623546490226
"14892","GO:0065007",1.46206806465963e-06,0.99999917114785,788,8416,"biological regulation","BP",0.000865097551258744
"357","GO:0000976",1.59718284700044e-06,0.999999431358605,90,627,"transcription regulatory region sequence-specific DNA binding","MF",0.000919502481728548
"8412","GO:0032943",2.22906517928355e-06,0.999999137476743,41,225,"mononuclear cell proliferation","BP",0.00124033318945189
"11714","GO:0045935",2.27092598416148e-06,0.999998815657197,175,1453,"positive regulation of nucleobase-containing compound metabolic process","BP",0.00124033318945189
"379","GO:0001067",2.5000165641044e-06,0.999998841487565,90,631,"regulatory region nucleic acid binding","MF",0.00133132132079969
"13140","GO:0051172",3.04216616707979e-06,0.999998190836758,212,1846,"negative regulation of nitrogen compound metabolic process","BP",0.00154648860746684
"11681","GO:0045892",3.04927099730563e-06,0.999998483407093,125,971,"negative regulation of transcription, DNA-templated","BP",0.00154648860746684
"15577","GO:0071310",3.47855933919242e-06,0.999997942744231,200,1725,"cellular response to organic substance","BP",0.00172318122056134
"12942","GO:0050865",3.64209365350206e-06,0.999998421311072,67,447,"regulation of cell activation","BP",0.00173716830321319
"7496","GO:0031327",3.84791944412091e-06,0.999997814735159,150,1216,"negative regulation of cellular biosynthetic process","BP",0.00173716830321319
"4653","GO:0010629",3.96523682043083e-06,0.999997560870397,182,1547,"negative regulation of gene expression","BP",0.00173716830321319
"18772","GO:1902679",4.08419422387324e-06,0.999997751686124,125,975,"negative regulation of RNA biosynthetic process","BP",0.00173716830321319
"19134","GO:1903507",4.08419422387324e-06,0.999997751686124,125,975,"negative regulation of nucleic acid-templated transcription","BP",0.00173716830321319
"1154","GO:0002684",4.09290939832547e-06,0.999997895830869,91,668,"positive regulation of immune system process","BP",0.00173716830321319
"7497","GO:0031328",4.20441369241273e-06,0.999997539956759,181,1530,"positive regulation of cellular biosynthetic process","BP",0.00173716830321319
"60","GO:0000122",4.27997800920411e-06,0.999997770341007,96,698,"negative regulation of transcription by RNA polymerase II","BP",0.00173716830321319
"12891","GO:0050793",4.28859830246208e-06,0.999997260520185,240,2130,"regulation of developmental process","BP",0.00173716830321319
"12032","GO:0046651",4.32232853247729e-06,0.999998298843673,40,223,"lymphocyte proliferation","BP",0.00173716830321319
"10851","GO:0043535",4.56002582624458e-06,0.999998836857499,21,82,"regulation of blood vessel endothelial cell migration","BP",0.00179876129860807
"358","GO:0000977",5.01063744523051e-06,0.999997465746244,84,587,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF",0.00194057433128828
